name,gu,dong,new dong,longitude,latitude,guId,dongId,_id,,,,
젊은느티나무,강북구,강북구,우이동,127.0047847,37.64700626,6344187ebe26106c41c6d734,63445ab0adb5727d4d0082aa,63446185adb5727d4d008464,,,,
조계사 후문 앞,종로구,견지동,,126.9832211,37.57372618,63441c55be26106c41c6d748,63445ab0adb5727d4d0083c4,63446185adb5727d4d008465,,,,
광화문한의원,종로구,견지동,,126.9832211,37.57372618,63441c55be26106c41c6d748,63445ab0adb5727d4d0083c4,63446185adb5727d4d008466,,,name,측정지점 이름
동산불교회관,종로구,견지동,,126.9832211,37.57372618,63441c55be26106c41c6d748,63445ab0adb5727d4d0083c4,63446185adb5727d4d008467,,,gu,자치구
우정에쉐르,종로구,견지동,,126.9832211,37.57372618,63441c55be26106c41c6d748,63445ab0adb5727d4d0083c4,63446185adb5727d4d008468,,,dong,노이즈인포에서 다운받은 raw데이터 속 동
동덕빌딩 앞,종로구,견지동,,126.9832211,37.57372618,63441c55be26106c41c6d748,63445ab0adb5727d4d0083c4,63446185adb5727d4d008469,,,new dong,GeoJSON 내의 동에 맞춰 가공(빈칸은 기존의 dong값 유지)
롯데슈퍼 신도림점,구로구,구로구,신도림동,126.8540469,37.49558207,63441a94be26106c41c6d738,63445ab0adb5727d4d0082c8,63446185adb5727d4d00846a,,,longitude,경도
신도림우성5차아파트 501동 앞,구로구,구로구,신도림동,126.8540469,37.49558207,63441a94be26106c41c6d738,63445ab0adb5727d4d0082c8,63446185adb5727d4d00846b,,,latitude,위도
공구상가일번지관리단,구로구,구로구,구로동,126.8540469,37.49558207,63441a94be26106c41c6d738,63445ab0adb5727d4d0082c5,63446185adb5727d4d00846c,,,guId,해당 자치구 ObjectId
렛슬(아)306동 뒤,강남구,대치동,,127.0657834,37.49885733,63441486be26106c41c6d732,63445ab0adb5727d4d008293,63446185adb5727d4d00846d,,,dongId,해당 동 ObjectId
대치1동주민센터,강남구,대치동,,127.0657834,37.49885733,63441486be26106c41c6d732,63445ab0adb5727d4d008293,63446185adb5727d4d00846e,,,_id,해당 핀 ObjectId
중대부고 앞,강남구,대치동,,127.0657834,37.49885733,63441486be26106c41c6d732,63445ab0adb5727d4d008293,63446185adb5727d4d00846f,,,,
숙명여고 앞,강남구,대치동,,127.0657834,37.49885733,63441486be26106c41c6d732,63445ab0adb5727d4d008293,63446185adb5727d4d008470,,,master 자료인만큼 DB에 같은 필드들로 들어가 있진 않음. 아래의 다큐멘트 이미지 참고. (API 공유예정),
대도초교 앞,강남구,대치동,,127.0657834,37.49885733,63441486be26106c41c6d732,63445ab0adb5727d4d008293,63446185adb5727d4d008471,,,,
