field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
1125074,길동,강동구,서울,서울 강동구 길동,대,127.14643594781313,37.53968837567299
1125073,천호2동,강동구,서울,서울 강동구 천호2동,대,127.12754100758583,37.543122288827284
1125071,둔촌2동,강동구,서울,서울 강동구 둔촌2동,대,127.14483766830936,37.528954162479586
1125067,성내3동,강동구,서울,서울 강동구 성내3동,대,127.1288860322977,37.530444571276256
1125072,암사1동,강동구,서울,서울 강동구 암사1동,대,127.13016467250256,37.55775749094849
1125070,둔촌1동,강동구,서울,서울 강동구 둔촌1동,대,127.14483766830936,37.528954162479586
1125066,성내2동,강동구,서울,서울 강동구 성내2동,대,127.1288860322977,37.530444571276256
1125065,성내1동,강동구,서울,서울 강동구 성내1동,대,127.1288860322977,37.530444571276256
1125063,천호3동,강동구,서울,서울 강동구 천호3동,대,127.12754100758583,37.543122288827284
1125061,천호1동,강동구,서울,서울 강동구 천호1동,대,127.12754100758583,37.543122288827284
1125059,암사3동,강동구,서울,서울 강동구 암사3동,대,127.13016467250256,37.55775749094849
1125055,고덕1동,강동구,서울,서울 강동구 고덕1동,대,127.15586323424802,37.56554266548578
1125058,암사2동,강동구,서울,서울 강동구 암사2동,대,127.13016467250256,37.55775749094849
1125053,명일1동,강동구,서울,서울 강동구 명일1동,대,127.14980511495212,37.54840650152009
1125052,상일동,강동구,서울,서울 강동구 상일동,대,127.16967075109335,37.5508362460728
1125054,명일2동,강동구,서울,서울 강동구 명일2동,대,127.14980511495212,37.54840650152009
1125056,고덕2동,강동구,서울,서울 강동구 고덕2동,대,127.15586323424802,37.56554266548578
1125051,강일동,강동구,서울,서울 강동구 강일동,대,127.16967075109335,37.5508362460728
1124082,위례동,송파구,서울,서울 송파구 위례동,대,127.13659592468734,37.478489294903554
1124081,장지동,송파구,서울,서울 송파구 장지동,대,127.12235026605565,37.485357881361516
1124080,잠실3동,송파구,서울,서울 송파구 잠실3동,대,127.08521396218235,37.511241071972464
1124077,잠실6동,송파구,서울,서울 송파구 잠실6동,대,127.09506937181273,37.524995163797605
1124079,잠실2동,송파구,서울,서울 송파구 잠실2동,대,127.08521396218235,37.511241071972464
1124071,잠실본동,송파구,서울,서울 송파구 잠실본동,대,127.08521396218235,37.511241071972464
1124069,문정2동,송파구,서울,서울 송파구 문정2동,대,127.13659592468734,37.478489294903554
1124075,잠실4동,송파구,서울,서울 송파구 잠실4동,대,127.09506937181273,37.524995163797605
1124078,잠실7동,송파구,서울,서울 송파구 잠실7동,대,127.08521396218235,37.511241071972464
1124068,문정1동,송파구,서울,서울 송파구 문정1동,대,127.12235026605565,37.485357881361516
1124067,가락2동,송파구,서울,서울 송파구 가락2동,대,127.11915250695493,37.49423924269762
1124066,가락1동,송파구,서울,서울 송파구 가락1동,대,127.11915250695493,37.49423924269762
1124065,가락본동,송파구,서울,서울 송파구 가락본동,대,127.11915250695493,37.49423924269762
1124062,송파2동,송파구,서울,서울 송파구 송파2동,대,127.1155353700044,37.504874038138034
1124064,삼전동,송파구,서울,서울 송파구 삼전동,대,127.09130607229943,37.50165970933331
1124060,오금동,송파구,서울,서울 송파구 오금동,대,127.13432211205682,37.50378593880416
1124059,오륜동,송파구,서울,서울 송파구 오륜동,대,127.12722229777918,37.516324957597256
1124061,송파1동,송파구,서울,서울 송파구 송파1동,대,127.1155353700044,37.504874038138034
1124063,석촌동,송파구,서울,서울 송파구 석촌동,대,127.10301650541948,37.503172875438466
1124058,방이2동,송파구,서울,서울 송파구 방이2동,대,127.12722229777918,37.516324957597256
1124057,방이1동,송파구,서울,서울 송파구 방이1동,대,127.12722229777918,37.516324957597256
1124056,마천2동,송파구,서울,서울 송파구 마천2동,대,127.15386910423635,37.49747031775987
1124055,마천1동,송파구,서울,서울 송파구 마천1동,대,127.15386910423635,37.49747031775987
1124052,풍납2동,송파구,서울,서울 송파구 풍납2동,대,127.11497625613578,37.53370746011428
1124054,거여2동,송파구,서울,서울 송파구 거여2동,대,127.1466420536593,37.490690912287974
1123080,개포2동,강남구,서울,서울 강남구 개포2동,대,127.08275888193684,37.487896776015454
1123079,대치2동,강남구,서울,서울 강남구 대치2동,대,127.06578338229858,37.49885732777732
1124051,풍납1동,송파구,서울,서울 송파구 풍납1동,대,127.11497625613578,37.53370746011428
1123078,청담동,강남구,서울,서울 강남구 청담동,대,127.05213499975864,37.52540983514242
1124053,거여1동,송파구,서울,서울 송파구 거여1동,대,127.1466420536593,37.490690912287974
1123077,압구정동,강남구,서울,서울 강남구 압구정동,대,127.02861023658183,37.52271249854262
1123076,세곡동,강남구,서울,서울 강남구 세곡동,대,127.11149761430808,37.471709028335354
1123075,수서동,강남구,서울,서울 강남구 수서동,대,127.09831987518034,37.48551756026227
1123072,일원본동,강남구,서울,서울 강남구 일원본동,대,127.09831987518034,37.48551756026227
1123074,일원2동,강남구,서울,서울 강남구 일원2동,대,127.06578338229858,37.49885732777732
1123068,개포1동,강남구,서울,서울 강남구 개포1동,대,127.06178887874859,37.48242715379669
1123067,도곡2동,강남구,서울,서울 강남구 도곡2동,대,127.0443863475401,37.48785567180894
1123071,개포4동,강남구,서울,서울 강남구 개포4동,대,127.06178887874859,37.48242715379669
1123066,도곡1동,강남구,서울,서울 강남구 도곡1동,대,127.0443863475401,37.48785567180894
1123073,일원1동,강남구,서울,서울 강남구 일원1동,대,127.09831987518034,37.48551756026227
1123065,역삼2동,강남구,서울,서울 강남구 역삼2동,대,127.03921521100109,37.499276974009824
1123064,역삼1동,강남구,서울,서울 강남구 역삼1동,대,127.03921521100109,37.499276974009824
1123063,대치4동,강남구,서울,서울 강남구 대치4동,대,127.06578338229858,37.49885732777732
1123058,삼성1동,강남구,서울,서울 강남구 삼성1동,대,127.05529607258985,37.51467024763297
1123060,대치1동,강남구,서울,서울 강남구 대치1동,대,127.06578338229858,37.49885732777732
1123052,논현1동,강남구,서울,서울 강남구 논현1동,대,127.03126039557995,37.514150290619554
1123051,신사동,강남구,서울,서울 강남구 신사동,대,127.02272182774553,37.52881008607758
1123053,논현2동,강남구,서울,서울 강남구 논현2동,대,127.03126039557995,37.514150290619554
1122068,내곡동,서초구,서울,서울 서초구 내곡동,대,127.05417924828797,37.46311561089553
1123059,삼성2동,강남구,서울,서울 강남구 삼성2동,대,127.05529607258985,37.51467024763297
1122067,양재2동,서초구,서울,서울 서초구 양재2동,대,127.04797208714685,37.44499174379323
1122065,방배4동,서초구,서울,서울 서초구 방배4동,대,126.99398510223358,37.479128090269974
1122066,양재1동,서초구,서울,서울 서초구 양재1동,대,127.03856883606376,37.46880588656617
1122064,방배3동,서초구,서울,서울 서초구 방배3동,대,126.99398510223358,37.479128090269974
1122062,방배1동,서초구,서울,서울 서초구 방배1동,대,126.99398510223358,37.479128090269974
1122060,반포4동,서초구,서울,서울 서초구 반포4동,대,127.00232707329714,37.50461749658912
1122059,반포3동,서초구,서울,서울 서초구 반포3동,대,127.00986410863737,37.51493466451847
1122058,반포2동,서초구,서울,서울 서초구 반포2동,대,127.00232707329714,37.50461749658912
1122061,방배본동,서초구,서울,서울 서초구 방배본동,대,126.99398510223358,37.479128090269974
1122057,반포1동,서초구,서울,서울 서초구 반포1동,대,127.00232707329714,37.50461749658912
1122063,방배2동,서초구,서울,서울 서초구 방배2동,대,126.99398510223358,37.479128090269974
