field1,field2,field3,field4,field5,field6,field7,_GC_TYPE,_X,_Y
1,서울특별시,조계사 후문 앞,서울특별시 종로구 견지동,중앙,다,상업지역,대,126.9832211,37.57372618
6,서울특별시,자라 앞,서울특별시 중구 명동1가,중앙,다,상업지역,유,126.9861109,37.56488123
11,서울특별시,크라운호텔 앞,서울특별시 용산구 이태원동,중앙,가,전용주거지역,대,126.991128,37.53884125
16,서울특별시,성수종로약국,서울특별시 성동구 성수동1가,중앙,다,준공업지역,대,127.041551,37.54303055
2,서울특별시,광화문한의원,서울특별시 종로구 견지동,중앙,다,상업지역,대,126.9832211,37.57372618
7,서울특별시,명동 오다헤어,서울특별시 중구 명동1가,중앙,다,상업지역,유,126.9861109,37.56488123
21,서울특별시,경희약국 앞,서울특별시 동대문구 회기동,중앙,가,종합병원지역,대,127.0509581,37.59453657
26,서울특별시,스웨덴대사관 앞,서울특별시 성북구 성북동,중앙,나,일반주거지역,대,127.0035905,37.58955132
3,서울특별시,동산불교회관,서울특별시 종로구 견지동,중앙,다,상업지역,대,126.9832211,37.57372618
12,서울특별시,스타벅스 앞,서울특별시 용산구 이태원동,중앙,가,전용주거지역,대,126.991128,37.53884125
17,서울특별시,현대자동차동부사업소,서울특별시 성동구 성수동1가,중앙,다,준공업지역,대,127.041551,37.54303055
8,서울특별시,우리은행 앞,서울특별시 중구 명동1가,중앙,다,상업지역,유,126.9861109,37.56488123
36,서울특별시,왕의장어,서울특별시 강북구 우이동,중앙,가,녹지지역,대,127.0048047,37.6370593
31,서울특별시,농협 맞은편,서울특별시 성북구 종암동,중앙,나,준주거지역,대,127.0332363,37.59656592
4,서울특별시,우정에쉐르,서울특별시 종로구 견지동,중앙,다,상업지역,대,126.9832211,37.57372618
13,서울특별시,백해영갤러리,서울특별시 용산구,중앙,가,전용주거지역,대,126.9804724,37.53114116
22,서울특별시,연화사 앞,서울특별시 동대문구 회기동,중앙,가,종합병원지역,대,127.0509581,37.59453657
9,서울특별시,중앙우체국 앞,서울특별시 중구 명동1가,중앙,다,상업지역,유,126.9861109,37.56488123
27,서울특별시,호주대사관저 앞,서울특별시 성북구 성북동,중앙,나,일반주거지역,대,127.0035905,37.58955132
